13:29:30 - URL: /products, Status Code: 401, Message: Access Denied. No token provided
13:30:48 - URL: /products, Status Code: 400, Message: A Product with this 'sn' already Exists!
13:32:59 - URL: /products, Status Code: 400, Message: A Product with this 'sn' already Exists!
13:33:16 - URL: /products, Status Code: 400, Message: Bad Request
14:27:48 - URL: /categories, Status Code: 401, Message: Access Denied. No token provided
14:37:22 - URL: /categories, Status Code: 401, Message: Access Denied. No token provided
15:15:24 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 400, Message: Failed to update card.
15:17:25 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 400, Message: Failed to update card.
15:19:25 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 400, Message: Failed to update card.
15:21:12 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 400, Message: Failed to update card.
15:25:58 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 400, Message: Failed to update card.
15:27:41 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 400, Message: Failed to update card.
15:29:03 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 400, Message: Failed to update card.
15:55:29 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 400, Message: Failed to update card.
16:05:12 - URL: /products/652528b42e4b4b6c721ad3f2, Status Code: 401, Message: Access Denied. No token provided
