10:47:55 - URL: /users/me, Status Code: 400, Message: Invalid Token
10:50:07 - URL: /users/me, Status Code: 400, Message: Invalid Token
10:51:23 - URL: /users/me, Status Code: 400, Message: Invalid Token
10:53:11 - URL: /users/me, Status Code: 400, Message: Invalid Token
10:56:45 - URL: /users/login, Status Code: 401, Message: Invalid email or password
10:56:45 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
11:01:35 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:01:35 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
11:03:00 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:03:00 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
11:06:53 - URL: /users/login, Status Code: 409, Message: Ip ::1 is blocked until 26.10.2023, 11:03:00.
11:06:53 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
11:12:53 - URL: /users/login, Status Code: 409, Message: Ip ::1 is blocked until 26.10.2023, 11:03:00.
11:13:23 - URL: /users/login, Status Code: 409, Message: Ip ::1 is blocked until 26.10.2023, 11:03:00.
11:14:47 - URL: /users/login, Status Code: 409, Message: Ip ::1 is blocked until 26.10.2023, 11:03:00.
11:16:22 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:16:44 - URL: /users, Status Code: 400, Message: User already registered
11:18:56 - URL: /users, Status Code: 400, Message: User already registered
11:20:15 - URL: /users, Status Code: 400, Message: User already registered
11:21:14 - URL: /users, Status Code: 400, Message: User already registered
11:22:41 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:36:32 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
11:36:32 - URL: /users?sortBy=name&sortOrder=asc, Status Code: 400, Message: User is not authorized to do that operation.
11:43:23 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
11:43:23 - URL: /users?sortBy=name&sortOrder=asc, Status Code: 400, Message: User is not authorized to do that operation.
11:49:05 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
11:49:05 - URL: /users?sortBy=name&sortOrder=asc, Status Code: 400, Message: User is not authorized to do that operation.
11:52:49 - URL: /users/me, Status Code: 400, Message: Invalid Token
11:52:49 - URL: /users?sortBy=name&sortOrder=asc, Status Code: 400, Message: User is not authorized to do that operation.
12:01:56 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:09:29 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:11:34 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:17:41 - URL: /users?sortBy=name&sortOrder=asc, Status Code: 400, Message: User is not authorized to do that operation.
12:20:03 - URL: /users, Status Code: 400, Message: User already registered
12:20:15 - URL: /users, Status Code: 400, Message: User already registered
12:25:55 - URL: /users/login, Status Code: 401, Message: Invalid email or password
12:33:24 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:35:00 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:37:26 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:38:09 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:38:22 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:39:16 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:40:09 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:40:21 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:42:48 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:43:04 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:45:14 - URL: /users/me, Status Code: 401, Message: Access Denied. No token provided
12:46:39 - URL: /users/login, Status Code: 401, Message: Invalid email or password
16:16:12 - URL: /users/forgot-password, Status Code: 400, Message: User Doesn't Exist!
