12:50:58 - URL: /products, Status Code: 400, Message: Error! Can't retrieve cards.
12:53:22 - URL: /products/651d32e3033fa1da116b2741, Status Code: 401, Message: Access Denied. No token provided
12:56:35 - URL: /products, Status Code: 400, Message: User is not authorized to do that operation.
13:36:10 - URL: /products, Status Code: 400, Message: A Product with this 'sn' already Exists!
13:36:20 - URL: /products, Status Code: 400, Message: A Product with this 'sn' already Exists!
13:36:45 - URL: /products, Status Code: 400, Message: A Product with this 'sn' already Exists!
13:48:46 - URL: /products, Status Code: 400, Message: Bad Request
13:53:13 - URL: /products, Status Code: 400, Message: A Product with this 'sn' already Exists!
13:54:56 - URL: /products, Status Code: 400, Message: User is not authorized to do that operation.
13:55:11 - URL: /products, Status Code: 400, Message: Bad Request
13:55:26 - URL: /products, Status Code: 400, Message: Bad Request
13:55:38 - URL: /products, Status Code: 400, Message: Bad Request
